
question: Здравствуйте! context: TechLab Digital Solutions,"Здравствуйте! Спасибо, что обратились в TechLab Digital Solutions! Скажите, сколько лет вашему ребенку? Мы подберем подходящую программу обучения."
question: Моему ребенку 5-9 лет. context: Курсы разработанные специально для детей 5-9 лет,"Отлично! У нас есть курсы робототехники, разработанные специально для детей 5-9 лет. Они включают обучение сборке роботов, программированию и командной работе. Хотите узнать больше о расписании и стоимости?"
question: Моему ребенку 9-17 лет. context: Для школьников 9-17 лет,"Замечательно! У нас есть курсы LEGO Mindstorms EV3 для школьников 9-17 лет. Курсы включают программирование, сборку роботов и участие в конкурсах. Хотите узнать больше о расписании, стоимости и условиях обучения?"
question: Сколько стоит разовое посещение? context: Разовое посещение для детей,"Разовое посещение для детей 5-9 лет стоит 5000 тг, для детей 9-17 лет — 5500 тг. Мы также предлагаем пробный урок за 2500 тг, который станет бесплатным при покупке абонемента. Хотите записаться?"
question: Какие есть варианты абонементов? context: Оптимальный вариант,"Для детей 5-9 лет: 2 месяца (1 модуль) — 60 000 тг, 4 месяца — 112 000 тг, 6 месяцев — 162 000 тг. Для детей 9-17 лет: 3 месяца — 96 000 тг, 6 месяцев — 180 000 тг, год — 336 000 тг. Хотите, я помогу выбрать оптимальный вариант?"
question: Можно записаться на пробный урок? context: Пробный урок,"Конечно! Пробный урок стоит 2500 тг (90 минут). Если вы решите приобрести абонемент в тот же день, пробный урок будет бесплатным. Хотите, я помогу вам записаться?"
question: Когда проходят занятия для детей 5-8 лет? context: Расписание для детей 5-8 лет,"Расписание для детей 5-8 лет (курс Lego Education Wedo 2.0 и физика) занятия проходят по субботам и воскресеньям в три времени на выбор: 10:30–12:00, 14:00–15:30, 15:30–17:00. Какое время вам удобно?"
question: Когда проходят занятия для детей 9-17 лет? context: Расписание для детей 9-17 лет,"Расписание для детей 9-17 лет (курс Lego Mindstorms EV3) занятия проходят по субботам и воскресеньям: 10:00–12:00, 12:00–14:00, 14:00–16:00, 16:00–18:00. В какое время вам удобнее записаться?"
question: Можно ли выбрать удобное время занятий? context: Гибкое расписание,"Конечно! Мы предлагаем гибкое расписание, чтобы вы могли выбрать наиболее подходящее время. Уточните возраст вашего ребенка, и я помогу подобрать время."
question: Для какого возраста предназначены курсы? context: Курсы для детей 5-9 лет и для подростков 9-17 лет,"У нас есть курсы для детей 5-9 лет и для подростков 9-17 лет. Скажите возраст вашего ребенка, и я подберу подходящую программу. Хотите узнать подробнее о модулях обучения?"
question: Где проходят занятия? context: Адрес,"Наш адрес: г. Астана, ул. Кайыма Мухамедханова, 37А, здание КазУТБ, 5 этаж, кабинет 3/519. Вы можете посмотреть карту здесь. Хотите уточнить детали или забронировать место?"
question: Сколько длится одно занятие? context: Занятие длится,"Для детей 5-9 лет одно занятие длится 90 минут, а для детей 9-17 лет — 120 минут. Мы делаем все возможное, чтобы это время было максимально увлекательным и продуктивным. Хотите узнать о расписании?"
question: Что изучают дети на курсе Lego Education Wedo 2.0? context: Lego Education Wedo 2.0,"На курсе Lego Education Wedo 2.0 дети изучают основы робототехники через конструирование, программирование и экспериментирование. Программа разработана для детей 5-8 лет. Хотите узнать расписание или записаться на пробный урок?"
question: Что изучают дети на курсе Lego Mindstorms EV3? context: Lego Mindstorms EV3,"На курсе Lego Mindstorms EV3 дети 9-17 лет изучают сложное программирование, проектирование роботов и готовятся к соревнованиям. Уроки также включают проектные задачи и командную работу. Хотите выбрать время занятий?"
question: Выдают ли сертификаты после завершения курсов? context: Сертификат,"Да, после завершения каждого модуля мы выдаем сертификат. Это отличный способ отметить достижения вашего ребенка и вдохновить его на новые успехи! Хотите узнать больше о модулях?"
question: Как найти вас в Instagram? context: Istagram,"Наш Instagram — techlabds_itclub. Подписывайтесь, чтобы быть в курсе последних новостей и акций!"
question: Сгорают ли оплаченные занятия при пропусках? context: Оплаченные занятия,"Нет, оплаченные занятия не сгорают, если вы заранее предупредите нас о пропуске. Мы всегда идем навстречу нашим клиентам. Уведомите нас о переносе, и мы с радостью найдем для вас удобное время!"
question: Какой уровень сложности у курсов? context: Курсы,"Курсы Lego Education Wedo 2.0 подходят для начального уровня, а курсы Lego Mindstorms EV3 рассчитаны на средний и продвинутый уровень. Хотите узнать, какой курс подойдет вашему ребенку?"
question: Можно ли заниматься онлайн? context: Занятия,"Пока все занятия проходят только офлайн, так как наши курсы предполагают работу с физическими моделями роботов. Мы проводим занятия в комфортных классах. Хотите узнать больше о локации?"
question: Нужно ли приобретать оборудование для занятий? context: Оборудование,"Нет, мы предоставляем все необходимое оборудование, включая наборы Lego Education и ноутбуки. Ваш ребенок будет обеспечен всем необходимым для успешного обучения. Хотите узнать о программе курсов?"
question: Кто проводит занятия? context: Преподаватели,Наши занятия проводят опытные преподаватели с большим опытом работы в области робототехники и программирования. Они помогут вашему ребенку освоить новые навыки и достичь успехов! Хотите узнать расписание занятий?
